Process;Rev_num;Sw_rev;Sw;Pc;krw;kro;
0;2;0,600923635528911;0,581075873719903;1743,4630875;0,159612319543001;0,0561861869709679;0,418924125999999
0;2;0,600923635528911;0,571139639499933;1855,47312857143;0,151262563953043;0,0573447060867834;0,428860361
0;2;0,600923635528911;0,561183671017877;1967,74778571429;0,143367680976447;0,0582688237866763;0,438816329
0;2;0,600923635528911;0,551262693710699;2132,35581964286;0,134465189048198;0,0593194842216796;0,448737305999999
0;2;0,600923635528911;0,541325030419728;2261,33793214286;0,128125829981378;0,059820254830366;0,45867497
0;2;0,600923635528911;0,531371436146788;2329,72744285714;0,12031816284509;0,06009173648729;0,468628563999999
0;2;0,600923635528911;0,521454705031957;2494,06868035714;0,118574027765392;0,0607177600556051;0,478545295
0;2;0,600923635528911;0,511475621963934;2504,97401785714;0,117696329117252;0,0645010961081346;0,488524378
0;2;0,600923635528911;0,50148652652957;2445,36458035714;0,109303333884678;0,0644548668238467;0,498513473
0;2;0,600923635528911;0,491531763722234;2806,20224464286;0,107687864362579;0,0674478036948851;0,508468236
0;2;0,600923635528911;0,481604294064563;2523,06959464286;0,103330211551322;0,0699340308788654;0,518395706
0;2;0,600923635528911;0,471740513966106;2803,02174107143;0,101930240675804;0,0706963348263583;0,528259486
0;2;0,600923635528911;0,461700742498839;2696,74473214286;0,0970388073661619;0,0726073655668382;0,538299258
0;2;0,600923635528911;0,451791965511162;2872,27041428571;0,0932428823329948;0,0730044186067643;0,548208034
0;2;0,600923635528911;0,441841967197721;2949,5017875;0,0876202508581148;0,0777763048463153;0,558158033
0;2;0,600923635528911;0,431938953058039;3145,18752321429;0,0825446610893794;0,0784205251846755;0,568061047
0;2;0,600923635528911;0,421947468447562;3138,54464464286;0,0727187815835178;0,101731070072199;0,578052532
0;2;0,600923635528911;0,411789253158792;2827,01806607143;0,0646533266035572;0,109293408081344;0,588210747
0;2;0,600923635528911;0,401878104179332;3019,10765357143;0,0592419223990982;0,180290606357709;0,598121896
0;2;0,600923635528911;0,391982070757696;3239,57576785714;0,0576286142962606;0,195696057814106;0,608017929
0;2;0,600923635528911;0,381963392777532;3183,76896964286;0,0523187147789374;0,214743195167877;0,618036607
0;2;0,600923635528911;0,372054415675567;3370,97398928571;0,0519523831617399;0,22316782528013;0,627945584
0;2;0,600923635528911;0,361810167873436;2797,07665178571;0,029929363885788;0,266146328566444;0,638189832
0;2;0,600923635528911;0,351941091675542;3126,31031785714;0,0260403032323269;0,277503621864847;0,648058908
0;2;0,600923635528911;0,341974443964299;3269,2234125;0,0232852189719541;0,284311658324001;0,658025556
0;2;0,600923635528911;0,332108325134052;3568,47479464286;0,0226515693246683;0,2884251254375;0,667891675
0;2;0,600923635528911;0,322039601952173;3349,58491607143;0,0171891627017194;0,299443201351402;0,677960398
0;2;0,600923635528911;0,312169966986409;3593,34979285714;0,0160847047986161;0,322866038723981;0,687830033
0;2;0,600923635528911;0,302150092755189;3519,52473214286;0,0136311462445381;0,373145539664496;0,697849906999999
0;2;0,600923635528911;0,292241849036055;3859,80227142857;0,0124634322517687;0,380217964015425;0,707758151
0;2;0,600923635528911;0,28213222770467;3548,306175;0,0121763711684361;0,483967519851004;0,717867772
