Process,Rev_num,Sw_rev,Sw,Pc,krw,kro,1-Sw
0,2,0.20181379,0.181855508,2612.889654,0,0.721176192,0.818144492
0,2,0.20181379,0.171879208,2786.416864,0,0.725969235,0.828120792
0,2,0.20181379,0.161897993,2995.322893,0,0.729527086,0.838102007
0,2,0.20181379,0.151907705,3192.79237,0,0.732330096,0.848092295
0,2,0.20181379,0.141931126,3495.199371,0,0.734463179,0.858068874
0,2,0.20181379,0.131945466,3757.676968,0,0.736119688,0.868054534
0,2,0.20181379,0.121953287,3955.142727,0,0.749190163,0.878046713
0,2,0.20181379,0.111960804,4153.728477,0,0.752310938,0.888039196
0,2,0.20181379,0.101961207,4562.724461,0,0.767650421,0.898038793
0,2,0.20181379,0.09192193,4742.60242,0,0.815856857,0.90807807
0,2,0.20181379,0.081902375,4988.234523,0,0.856302302,0.918097625
0,2,0.20181379,0.071876496,5322.106082,0,0.895425551,0.928123504
0,2,0.401451936,0.401451936,1801.253084,0.042634347,0.306431871,0.598548064
0,2,0.401451936,0.39146789,1917.620646,0.036466284,0.31255319,0.60853211
0,2,0.401451936,0.381492328,2030.034579,0.031324713,0.317359373,0.618507672
0,2,0.401451936,0.371521141,2146.792457,0.025755097,0.320660732,0.628478859
0,2,0.401451936,0.361552903,2246.944746,0.02147568,0.322878132,0.638447097
0,2,0.401451936,0.351583655,2349.92213,0.019157854,0.324729925,0.648416345
0,2,0.401451936,0.34162102,2471.070846,0.01787194,0.326547946,0.65837898
0,2,0.401451936,0.331661247,2598.671909,0.016841081,0.328669176,0.668338753
0,2,0.401451936,0.321688482,2672.643814,0.014219286,0.330614389,0.678311518
0,2,0.401451936,0.311727133,2788.234077,0.01203495,0.33159071,0.688272867
0,2,0.401451936,0.301769411,2912.641554,0.010912825,0.332429901,0.698230589
0,2,0.401451936,0.291780045,2845.969602,0.007898288,0.333228066,0.708219955
0,2,0.401451936,0.281836059,3035.086184,0.006303365,0.343756317,0.718163941
0,2,0.401451936,0.271877689,3176.97105,0.004758511,0.357497154,0.728122311
0,2,0.401451936,0.261881035,3136.553839,0.004122629,0.36360371,0.738118965
0,2,0.401451936,0.251913542,3303.740507,0.003677752,0.375152781,0.748086458
0,2,0.401451936,0.241938304,3400.692402,0.002305332,0.428324917,0.758061696
0,2,0.401451936,0.231942342,3468.475489,0,0.460612581,0.768057658
0,2,0.401451936,0.221982401,3696.212823,0,0.480694723,0.778017599
0,2,0.401451936,0.211960936,3597.299571,0,0.492157224,0.788039064
0,2,0.401451936,0.201986214,3741.163913,0,0.513532004,0.798013786
0,2,0.401451936,0.191992774,3855.693621,0,0.523964487,0.808007226
0,2,0.401451936,0.182004768,3941.13165,0,0.547531547,0.817995232
0,2,0.401451936,0.171997101,4076.135839,0,0.582780291,0.828002899
0,2,0.401451936,0.161983645,4248.769425,0,0.625456003,0.838016355
0,2,0.401451936,0.151943424,4603.139245,0,0.63243713,0.848056576
0,2,0.401451936,0.141983235,4489.64873,0,0.649303244,0.858016765
0,2,0.401451936,0.131984088,4252.799057,0,0.689368093,0.868015912
0,2,0.401451936,0.122022891,4942.109893,0,0.700511592,0.877977109
0,2,0.401451936,0.111951116,4400.069127,0,0.804164672,0.888048884
0,2,0.401451936,0.10197267,5079.499591,0,0.80652398,0.89802733
0,2,0.401451936,0.09193337,5204.293018,0,0.836443796,0.90806663
0,2,0.401451936,0.081911959,5436.762804,0,0.872029361,0.918088041
0,2,0.401451936,0.071830498,4922.326045,0,0.890634823,0.928169502
0,2,0.600923636,0.600923636,1441.160888,0.177339368,0.052131437,0.399076364
0,2,0.600923636,0.591005234,1576.378918,0.168182268,0.054716726,0.408994766
0,2,0.600923636,0.581075874,1743.463088,0.15961232,0.056186187,0.418924126
0,2,0.600923636,0.571139639,1855.473129,0.151262564,0.057344706,0.428860361
0,2,0.600923636,0.561183671,1967.747786,0.143367681,0.058268824,0.438816329
0,2,0.600923636,0.551262694,2132.35582,0.134465189,0.059319484,0.448737306
0,2,0.600923636,0.54132503,2261.337932,0.12812583,0.059820255,0.45867497
0,2,0.600923636,0.531371436,2329.727443,0.120318163,0.060091736,0.468628564
0,2,0.600923636,0.521454705,2494.06868,0.118574028,0.06071776,0.478545295
0,2,0.600923636,0.511475622,2504.974018,0.117696329,0.064501096,0.488524378
0,2,0.600923636,0.501486527,2445.36458,0.109303334,0.064454867,0.498513473
0,2,0.600923636,0.491531764,2806.202245,0.107687864,0.067447804,0.508468236
0,2,0.600923636,0.481604294,2523.069595,0.103330212,0.069934031,0.518395706
0,2,0.600923636,0.471740514,2803.021741,0.101930241,0.070696335,0.528259486
0,2,0.600923636,0.461700742,2696.744732,0.097038807,0.072607366,0.538299258
0,2,0.600923636,0.451791966,2872.270414,0.093242882,0.073004419,0.548208034
0,2,0.600923636,0.441841967,2949.501788,0.087620251,0.077776305,0.558158033
0,2,0.600923636,0.431938953,3145.187523,0.082544661,0.078420525,0.568061047
0,2,0.600923636,0.421947468,3138.544645,0.072718782,0.10173107,0.578052532
0,2,0.600923636,0.411789253,2827.018066,0.064653327,0.109293408,0.588210747
0,2,0.600923636,0.401878104,3019.107654,0.059241922,0.180290606,0.598121896
0,2,0.600923636,0.391982071,3239.575768,0.057628614,0.195696058,0.608017929
0,2,0.600923636,0.381963393,3183.76897,0.052318715,0.214743195,0.618036607
0,2,0.600923636,0.372054416,3370.973989,0.051952383,0.223167825,0.627945584
0,2,0.600923636,0.361810168,2797.076652,0.029929364,0.266146329,0.638189832
0,2,0.600923636,0.351941092,3126.310318,0.026040303,0.277503622,0.648058908
0,2,0.600923636,0.341974444,3269.223413,0.023285219,0.284311658,0.658025556
0,2,0.600923636,0.332108325,3568.474795,0.022651569,0.288425125,0.667891675
0,2,0.600923636,0.322039602,3349.584916,0.017189163,0.299443201,0.677960398
0,2,0.600923636,0.312169967,3593.349793,0.016084705,0.322866039,0.687830033
0,2,0.600923636,0.302150093,3519.524732,0.013631146,0.37314554,0.697849907
0,2,0.600923636,0.292241849,3859.802271,0.012463432,0.380217964,0.707758151
0,2,0.600923636,0.282132228,3548.306175,0.012176371,0.48396752,0.717867772
0,2,0.600923636,0.272248494,4047.886093,0.011916119,0.509033743,0.727751506
0,2,0.600923636,0.262082706,3655.387211,0.010368705,0.587993863,0.737917294
0,2,0.600923636,0.252201863,4190.318743,0.010083265,0.595113359,0.747798137
0,2,0.600923636,0.242127148,3866.648641,0.009312457,0.600358484,0.757872852
0,2,0.600923636,0.232190006,4649.326082,0.008703737,0.601460228,0.767809994
0,2,0.600923636,0.222028908,3242.523895,0.00558568,0.635347053,0.777971092
0,2,0.600923636,0.212015449,3263.684984,0.004448858,0.643213879,0.787984551
0,2,0.600923636,0.202134079,3937.233557,0.004462437,0.644873074,0.797865921
0,2,0.600923636,0.192229942,4605.070939,0.004457702,0.648409841,0.807770058
0,2,0.600923636,0.182147622,4111.290198,0.004374254,0.682588859,0.817852378
0,2,0.600923636,0.172196052,4531.571196,0.004422494,0.714031463,0.827803948
0,2,0.600923636,0.162185945,4493.926757,0.004429642,0.756094531,0.837814055
0,2,0.600923636,0.152212507,4892.338564,0.004461829,0.781614797,0.847787493
0,2,0.600923636,0.142060619,4405.67535,0.00390301,0.800678612,0.857939381
0,2,0.600923636,0.132109297,4964.566179,0.003944408,0.823972745,0.867890703
0,2,0.600923636,0.122013425,4311.113298,0,0.849983094,0.877986575
0,2,0.600923636,0.112081364,5203.952518,0,0.860083242,0.887918636
0,2,0.600923636,0.102019849,5090.485473,0,0.882997406,0.897980151
0,2,0.600923636,0.091990655,5251.900125,0,0.891845523,0.908009345
0,2,0.600923636,0.081918313,5498.013214,0,0.917653545,0.918081687
0,2,0.600923636,0.07186161,5530.907411,0,0.938487889,0.92813839
0,2,0.750881254,0.750881254,2332.195527,0.265772808,0,0.249118746
0,2,0.750881254,0.740884258,2318.848838,0.264075258,0,0.259115742
