Sw, kro, krw, Pc
0.341621019555218, 0.01787193960763, 0.326547945674721, 0.0024710708464285697
0.351583655133553, 0.0191578538039491, 0.324729925115024, 0.0023499221303571395
0.361552903088856, 0.0214756800530191, 0.322878132379371, 0.00224694474642857
0.371521141220403, 0.0257550972063736, 0.320660731716005, 0.00214679245714286
0.381492328414405, 0.0313247127977972, 0.317359372860342, 0.00203003457857143
0.391467889847715, 0.0364662837491586, 0.312553190172007, 0.0019176206464285698
0.401451935796925, 0.0426343471231293, 0.306431870705958, 0.0018012530839285699

0.4018267103260424, 0.0205557195471665, 0.3183141122746341, 0.003245252823214285
0.411740500366028, 0.0238675252625927, 0.3170469963147319, 0.0029459848982142855
0.4216698278085466, 0.029280801410519, 0.3151366490587654, 0.0026541940285714286
0.4316072509295852, 0.0343191243871857, 0.3129856509261255, 0.0024575806017857137
0.4415549336228661, 0.0449107767254707, 0.3099090700244358, 0.0022923488142857144
0.4515145661520816, 0.048792843322111, 0.3066085474321768, 0.002169939605357143
0.4614704024058134, 0.0538384610887843, 0.3020568782946466, 0.0020589695464285707
0.4714511601701165, 0.0574914799634906, 0.2966409952563762, 0.0020390746125
0.4814013852158985, 0.0628015547744891, 0.29029859669372, 0.0019483073249999998
0.4913709773331186, 0.0662218077715083, 0.2669015387487875, 0.0019163266232142852
0.5013398553876727, 0.0715618867485459, 0.2565224163219962, 0.0018815249517857143
0.5112945362290157, 0.0797388236813392, 0.2522382710640077, 0.0018141060696428566
0.5212640387405544, 0.0890527748948579, 0.2337504652720312, 0.0017543608339285713
0.5312340594066856, 0.0961301669720502, 0.2158602500926121, 0.001735550732142857
0.5412003277653383, 0.1026077732452479, 0.1816825507127417, 0.0016940330571428568
0.5511647366669625, 0.1110665454191943, 0.1779116460373618, 0.0016709039035714285
0.5611191253158663, 0.120194637091032, 0.1685763733234225, 0.0016475464071428571
0.5710092271756534, 0.1304640964378958, 0.1645259636870306, 0.001812821667857143
0.5810734924260129, 0.1357255956024767, 0.1475623396173435, 0.0015663166660714286
0.5910461706519499, 0.1422613286150923, 0.1377517412170028, 0.0015273538071428573
0.6008432328734726, 0.1509979203576505, 0.1297168387988909, 0.001894540896428571
0.6109851934848521, 0.1568309782199216, 0.1253792804323288, 0.0014913682660714286
0.620951627140942, 0.1631474799564145, 0.1205709877870966, 0.001457538482142857
0.6309211107295418, 0.1717305819838467, 0.0539249548478069, 0.0014404143053571429
0.6408923196449264, 0.1825087307105593, 0.0524469879360158, 0.0014359218642857143
0.6508508668879385, 0.1908973693324358, 0.0486711139261738, 0.001351991657142857
0.660840136078861, 0.2037028296178445, 0.0386252472907276, 0.0013639974107142855
0.6708197955604333, 0.2176530219302841, 0.0271205320114796, 0.0013241904964285713
0.6807957169562348, 0.2303093539358616, 0.0, 0.0013313400589285713
0.6907562444773638, 0.2645362320367203, 0.0, 0.0013232631375
0.7007223247094366, 0.2840422206878218, 0.0, 0.0013413282589285714
0.7106453756087597, 0.2950040578877611, 0.0, 0.0011889496392857146
0.7206062707115561, 0.3006166397279957, 0.0, 0.0011755778785714282
0.7305783603469472, 0.3086984500903124, 0.0, 0.0011332397517857143
0.740526323258358, 0.3197176517434122, 0.0, 0.0010611251678571427
0.7504564083341323, 0.329722530214639, 0.0, 0.0009451242214285714
0.7603812358781806, 0.3380535309895496, 0.0, 0.0008073426482142856
0.7703276393522149, 0.3475734892600058, 0.0, 0.0007067770392857142
0.7803739192207874, 0.3534013285169922, 0.0, 0.0008175253071428571

0.0718616097176606, 0.0, 0.938487889418317, 0.00553090741071429
0.0819183127383304, 0.0, 0.917653544594912, 0.00549801321428571
0.0919906551617027, 0.0, 0.891845523172417, 0.005251900125
0.102019848842759, 0.0, 0.882997406055657, 0.00509048547321429
0.112081364029978, 0.0, 0.860083241980938, 0.00520395251785714
0.12201342467525, 0.0, 0.849983093809536, 0.004311113298214289
0.132109297434493, 0.0039444076211578, 0.823972744889084, 0.0049645661785714295
0.142060618941294, 0.0039030096878703, 0.800678611670876, 0.00440567535
0.152212507070867, 0.0044618287166902, 0.781614797294977, 0.00489233856428571
0.162185944809533, 0.0044296417423451, 0.756094530893621, 0.004493926757142859
0.17219605224402, 0.0044224941025337, 0.714031462641581, 0.00453157119642857
0.182147622092096, 0.0043742542480371, 0.682588859218513, 0.00411129019821429
0.192229941958819, 0.0044577024000679, 0.648409841115582, 0.004605070939285709
0.20213407862324, 0.0044624366158575, 0.644873074111512, 0.00393723355714286
0.21201544937728, 0.0044488584321042, 0.643213879270743, 0.00326368498392857
0.222028908310322, 0.0055856802114266, 0.635347052931373, 0.0032425238946428596
0.232190005577424, 0.0087037373656882, 0.60146022847842, 0.00464932608214286
0.242127148349516, 0.0093124571967823, 0.600358483606785, 0.0038666486410714298
