TStep[d],Defaulta,bestTol,cnvminmaxresid,iterationNumber
1.60e+01,5.00e-03,6.00e-03,5.96e+00,3
1.60e+01,5.00e-03,5.00e-03,8.29e+01,4
1.60e+01,5.00e-03,5.00e-03,1.87e+01,5
1.60e+01,5.00e-03,6.00e-03,4.29e+00,6
1.60e+01,5.00e-03,6.00e-03,6.10e-01,7

8.00e+00,5.00e-03,5.00e-03,5.50e+00,0
8.00e+00,5.00e-03,6.00e-03,2.79e+00,1
8.00e+00,5.00e-03,6.00e-03,1.34e+00,2
8.00e+00,5.00e-03,5.00e-03,3.50e-01,3

1.00e+00,5.00e-03,5.00e-03,1.78e-01,0
1.00e+00,5.00e-03,5.00e-03,1.96e-01,1

3.00e+00,5.00e-03,5.00e-03,2.42e+00,0
3.00e+00,5.00e-03,6.00e-03,2.35e+00,1
3.00e+00,5.00e-03,5.00e-03,1.53e+00,2
3.00e+00,5.00e-03,6.00e-03,2.58e+00,3
3.00e+00,5.00e-03,6.00e-03,8.37e-01,4

1.80e+01,5.00e-03,5.00e-03,3.96e+00,0
1.80e+01,5.00e-03,5.00e-03,2.58e+01,1
1.80e+01,5.00e-03,6.00e-03,1.19e+01,2
1.80e+01,5.00e-03,5.00e-03,2.71e+01,3
1.80e+01,5.00e-03,5.00e-03,1.83e+01,4
1.80e+01,5.00e-03,6.00e-03,2.48e+00,5
1.80e+01,5.00e-03,5.00e-03,1.95e+00,6
1.80e+01,5.00e-03,6.00e-03,9.43e+00,7
1.80e+01,5.00e-03,5.00e-03,2.84e+00,8
1.80e+01,5.00e-03,6.00e-03,8.62e-01,9

3.10e+01,5.00e-03,5.00e-03,1.42e+01,0
3.10e+01,5.00e-03,5.00e-03,1.55e+01,1
3.10e+01,5.00e-03,5.00e-03,2.59e+01,2
3.10e+01,5.00e-03,5.00e-03,3.28e+01,3
3.10e+01,5.00e-03,5.00e-03,1.47e+01,4
3.10e+01,5.00e-03,6.00e-03,4.49e+00,5
3.10e+01,5.00e-03,6.00e-03,1.52e+00,6
3.10e+01,5.00e-03,6.00e-03,5.67e-01,7

3.10e+01,5.00e-03,5.00e-03,6.01e+00,0
3.10e+01,5.00e-03,5.00e-03,7.36e+00,1
3.10e+01,5.00e-03,6.00e-03,2.50e+01,2
3.10e+01,5.00e-03,6.00e-03,7.48e+00,3
